text	text_1	label
what is good riddance mean	What does good liberation mean	definition
why can't i log into my bank account	Why can't I log into my bank account	account_blocked
will i be charged if i use the card in italy	If I use this card in Italy, will it be charged	international_fees
how many calories are in a bag of regular doritos	How many calories is a normal Doritos bag	calories
you talk too slow	You speak too slowly	change_speed
what name do you go by	What's your name?	what_is_your_name
which ingredients does gumbo have	What are the ingredients of okra	ingredients_list
when can i start boarding my flight	When can I start boarding	flight_status
thanks, bye	Thank you. Goodbye	goodbye
let's add wonder by hillsong united to my playlist	Let's add the miracle of Hillsong United to my play list	update_playlist
what are some good southern bbq restaurants in nashville	What are the good Southern barbecue restaurants in Nashville	restaurant_suggestion
can you show me transactions related to utilities	Can you show me the transaction related to public utilities	transactions
"""i want to hear the song that has, """"baby shark, doo doo"""	"I want to hear that song, there's ""baby shark, doodle"""	play_music
can i increase my credit limit from 1000 to 2000 please	Can I increase my credit limit from 1000 to 2000	credit_limit_change
when will my credit card app be approved	When will my credit card app be approved	application_status
how is everything with you	Are you all right	greeting
i need you to flip a coin once	I want you to flip a coin	flip_coin
how do i check my rewards for my chase card	How do I check my chase card rewards	rewards_balance
to vacation to tel aviv do i need a travel visa	Do you need a travel visa to go to Tel Aviv on holiday	international_visa
who is it that you work for	Who do you work for	who_do_you_work_for
can you get me any recommendations for the place i'm traveling to	Can you recommend me where I want to go	travel_suggestion
i want a hotel with good review in honolulu, can you find one	I want to find a hotel in Honolulu with good reviews. Can you find it	book_hotel
when will i need my next oil change	When do I need to change the oil	oil_change_when
what are your favorite hobbies to take part in	What's your favorite hobby	what_are_your_hobbies
please cancel the table for two at burger king	Please cancel the double table for burger king	cancel_reservation
i need to know the date in 256 days	I want to know the date in 256 days	date
tell me about my health insurance	Tell me about my health insurance	insurance
i need to obtain and uber	I need to get and Uber	uber
on my shopping list, remove eggs	On my shopping list, remove the eggs	shopping_list_update
do i have reservations at creme at 7 pm	Do I have a reservation for cream at 7pm	confirm_reservation
can you suggest some quality chinese restaurants in oklahoma city	Can you recommend some good Chinese restaurants in Oklahoma City	restaurant_suggestion
how long does it take to get to the airport in dallas	How long does it take to get to Dallas airport	distance
what is three quarters of one sixth	What's three quarters of three sixties	calculator
i would like to try and confirm that i have a reservation at macaroni grill for silva	I'd like to confirm that I have a reservation for Silva at the macaroni barbecue	confirm_reservation
what animals await you at home	What animal is waiting for you at home	do_you_have_pets
what's the amount due on my vet and vehicle registration bills	How much is due on my veterinarian and Vehicle Registration Bill	bill_balance
please increase your speaker volume	Please increase the speaker volume	change_volume
find instructions for how to change the oil in a 2015 passat	Learn how to change oil in 2015 Passat	oil_change_how
please speak faster	Please speak quickly	change_speed
thanks for that!	thank you!	thank_you
how do you say your name	What's your name	what_is_your_name
how many days until my amex card reaches it expiration date	How many days before my American Express card expires	expiration_date
how long until my milk expires	How long does it take for my milk to expire	food_last
please put a block on my us bank account immediately	Please freeze my bank account in the United States immediately	freeze_account
look up the song that's on right now	Look at the song that's playing now	what_song
i need the time zone for la	I need the time zone in Los Angeles	timezone
how are you named	What's your name?	what_is_your_name
i have had farm fresh eggs in the fridge for a few months, are they still okay to ingest	I've kept fresh eggs in the fridge for months. Can they still be eaten	food_last
let me know the list of transaction on my first hawaiian bank	Let me know the transaction list of my first Hawaiian Bank	transactions
can you book a car rental today to new york city to philadelphia	Can you book a car rental from New York to Philadelphia today	car_rental
i must pay my cable bill from my checking account	I have to pay for the telegram with my checking account	pay_bill
i would love to know the closest gas station to glendale	I want to know the nearest gas station to Glendale	directions
what date will my next paycheck be here	When will my next salary arrive	payday
will i have enough to get a new roku with my savings account	Do I have enough money to buy a new roc with my savings account	balance
i think my luggage has been lost	I think I lost my luggage	lost_luggage
book an oil change please	Please reserve the oil change room	schedule_maintenance
why am i seeing a hold on my charles schwab account	Why is my Charles Schwab account frozen	account_blocked
tell me when was car in shop	Tell me when the car is in the store	last_maintenance
when will i need to change my oil again	When do I need another oil change	oil_change_when
what is the amount of gas in my car	How much gas do I have in my car	gas
talk faster	Speak fast	change_speed
does my card have an expiration date and if so, what is it	Is my card valid? If so, what is it	expiration_date
do you have a list of shots that i need for traveling to denmark	Do you have a photo list for my trip to Denmark	vaccines
what did i ask you to remind me of	I want you to remind me of something	reminder
i need to know how many vacation days i have	I want to know how many holidays I have	pto_balance
can you book me a hotel in los angeles near commerce casino from april 1st to the 5th	Can you book me a hotel near the Los Angeles commercial casino from April 1 to 5	book_hotel
i'd like a placed booked in san diego from may 1st, 2020 to june 2nd, 2020	I'd like to book a ticket in San Diego from May 1, 2020 to June 2, 2020	book_hotel
tell me the date of my last car check up	Tell me the date of the last inspection	last_maintenance
can you put on music by beach house	Can you play music at the seaside villa	play_music
on tuesday you are supposed to have a meeting	You should have a meeting on Tuesday	calendar
how much paid time off do i have saved	How much paid vacation time have I saved	pto_balance
are you a person that's real	Are you a real person	are_you_a_bot
what festivals are there to see in paris	What are the festivals in Paris	travel_suggestion
i need to know if i must have an international visa to go to france	I want to know if I need an international visa to go to France	international_visa
i need to know the travel alerts for kenya	I want to know the travel alert in Kenya	travel_alert
do i have any remaining pto days	Do I have any days left	pto_balance
is my phone somewhere around here	Is my cell phone near here	find_phone
my card expires in what month	Which month does my card expire	expiration_date
tell me the status of flight dl123	Tell me about flight dl123	flight_status
check to see if picking up glenn from the airport is on my list of reminders	Is meeting Glen at the airport on my reminder	reminder
can you tell me where my phone is	Can you tell me where my cell phone is	find_phone
tell me what cyst means	Tell me what cyst means	definition
i need help finding the apr on my aspire loan	I need help finding APR on the aspire loan	interest_rate
i need a hotel room for 4 people in lakewood from monday to wednesday	I need a room for four in Lakewood from Monday to Wednesday	book_hotel
i want to know the status of my vacation request	I want to know the status of my vacation application	pto_request_status
the pin number to my card has been forgotten	I forgot the password on my card	pin_change
what's next on the list	What's next on the list	next_song
let me know when it's been 5 minutes	Let me know in five minutes	timer
please tell me the name i should use when talking to you	Please tell me what my name should be when I talk to you	what_is_your_name
what do you use when you make a chef's salad	What do you use to make a chef's salad	ingredients_list
make my settings go back to their factory settings	Return my settings to factory settings	reset_settings
does the state department say anything about traveling to haiti	Did the State Department mention a trip to Haiti	travel_alert
i want know about carry-on for frontier	I want to know the carry on luggage of the frontier	carry_on
what mpg does this car get on the highway	What's the speed of the car on the highway	mpg
can you tell me what 30% off 279 is	Can you tell me the discount of 279	calculator
add eggs to my shopping list if it's not already there	If I don't have eggs on my shopping list, add them in	shopping_list_update
will my 401k carryover	Will my 401k be carried forward	rollover_401k
tell the restaurant to cancel my reservation	Tell the restaurant to cancel my reservation	cancel_reservation
change settings to sound like a female	Change the settings to make it sound like a woman	change_accent
what meetings do i have today from 3 to 4	What meeting do I have today from 3:00 to 4:00	meeting_schedule
how is the temperature at ac	What's the temperature of the air conditioner	smart_home
whats your name	What's your name?	what_is_your_name
could you tell me what my credit score is	Can you tell me my credit score	credit_score
can you tell bob to get his dog via text	Can you tell Bob to text his dog	text
after how long should i change my oil	How soon should I change the oil	oil_change_when
when's the next federally recognized holiday	When is the next federal holiday	next_holiday
why did macy's decline my card	Why Macy's refused my credit card	card_declined
what are some things you like doing	What do you enjoy?	what_are_your_hobbies
how many cups in a quart	How many cups are there in a quart	measurement_conversion
what is my savings balance	What's my balance	balance
what do you know me as	Do you know what kind of person I am	user_name
what time is my next paycheck coming	When will my next salary arrive	payday
i need you to act swiftly and freeze all activity on my capital one checking	I need you to move quickly and freeze all the activity on my capital one check	freeze_account
pay my gas bill with my checking account	Pay for gas with my checking account	pay_bill
whats the exchange rate for us dollars to british pounds	What's the exchange rate of US dollar to pound sterling	exchange_rate
can you tell me what gas this car takes	Can you tell me how much gas this car needs	gas_type
the timer is calculated for 10 minutes	The timer is based on 10 minutes	timer
let me know the number of vacation days i have	Let me know how many holidays I have	pto_balance
it is time to say goodbye	It's time to say goodbye	goodbye
would you please put a block on my chase account right away	Can you put a number on my chase account right away	freeze_account
i want a block placed on my checking account right away	I want to draw a block on my checking account right now	freeze_account
can you tell me the correct spelling of liaison	Can you tell me the correct spelling of contact	spelling
it is very much false	This is very wrong	no
what is the sitting time at this restaurant	What's the seating time in this restaurant	how_busy
when does my oil need to be changed	When do I need to change my oil	oil_change_when
i need to know how many teaspoons are equivalent to two tablesppons	I want to know how many teaspoons are equivalent to two	measurement_conversion
what's your age alexa	How old are you, Alex	how_old_are_you
who would you say that you are working for	Who do you say you work for	who_do_you_work_for
how long will it take to get a new card	How long does it take to get a new card	replacement_card_duration
please add this song to my country music playlist	Please add this song to my country music player list	update_playlist
please talk a bit faster	Please speak faster	change_speed
repeal the dinner reservation	Cancel dinner reservation	cancel_reservation
do the shower playlist please	Take a look at the shower list	play_music
could you connect to my phone	Can you take my call	sync_device
i want to hear something funny	I want to hear something interesting	tell_joke
jump to the next song on this playlist	Jump to the next song in this list	next_song
give me the routing number for my paragon account	Give me the routing number of the paragon account	routing
flip a coin, i choose heads	Toss the coin, I choose the head	flip_coin
that's definitely false	That's absolutely false	no
does mexico require an international visa	Does Mexico need an international visa	international_visa
track down my phone for me	Help me find my phone	find_phone
what is my limit on my visa card	What's my visa limit	credit_limit
my luggage has not arrived and i would like help locating it	My luggage hasn't arrived yet. I want to help find it	lost_luggage
are there any openings in new york city from april 2 through april 8	Are there any vacancies in New York from April 2 to April 8	book_hotel
how old is al	How old is al	how_old_are_you
how is the traffic near lexington	What's the traffic like near Lexington	traffic
what is 2+2	What is 2 + 2	calculator
what percentage of gas do i have left	How much gas do I have left	gas
are you able to help with booking a car rental in seattle	Can you help me rent a car in Seattle	car_rental
do you know how to say where is the restroom in french	Do you know what to say in French? Where is the bathroom	translate
how do i make my credit score better	How to improve my credit score	improve_credit_score
i need you to give me a suggestion for what to make for dinner	I need your advice on what to do for dinner	meal_suggestion
can you teach me how to set up direct deposit, or show me who can	Can you teach me how to set up a direct deposit? Or tell me who can	direct_deposit
i just finished taking out my recycling, so cross that off my to do list	I just finished recycling, so cross it off my to-do list	todo_list_update
what is the reason for whole foods declining my card	Why did whole foods refuse my credit card	card_declined
can i reserve tables at the new york restaurant	Can I reserve a table at the New York restaurant	accept_reservations
help me set a timer please	Please set a timer for me	timer
how expensive is it to fuel this car	How expensive is the fuel for this car	mpg
can you schedule a meeting with steve at the office	Can you arrange a meeting with Steve in the office	schedule_meeting
remember to play the next number on this particular playlist	Remember to play the next number on this list	next_song
direct me to the application for a new credit card	Please tell me the application form for the new credit card	new_card
what types of questions do you have a response for	What kind of questions do you answer	what_can_i_ask_you
check me out on the map	Look at me on the map	current_location
i am going to call the landlord	I want to call the landlord	make_call
i am looking for my phone	I'm looking for my cell phone	find_phone
for friday, add a doctor's appointment to my calendar	On Friday, add a doctor's appointment to my calendar	calendar_update
should i get an oil change	Do I need to change the oil	oil_change_when
talk to you soon, bye!	I'll tell you soon. Goodbye!	goodbye
tell me how to jump start my own car battery	Tell me how to start my own car battery	jump_start
can you talk to me in french	Can you speak to me in French	change_language
i am in need of my w2 for tax reasons; provide me where to get it	I need my W2 for tax reasons; Tell me where I can get it	w2
help me to transfer my 401k	Turn 401k for me	rollover_401k
dates for my car in the shop	The date my car was in the store	last_maintenance
turn up your volume	Turn up 	change_volume
tell me everything on my calendar for may 1	Tell me everything on the May 1st calendar	calendar
is butter ok to use instead of oil	Is it OK to use butter instead of oil	ingredient_substitution
i want to talk to you about your hobbies	I want to talk to you about your hobbies	what_are_your_hobbies
i have points on my capital one card and i'd like to know how many i've earned	I have points on my capital card. I want to know how much I earn	rewards_balance
is there a wait time to get into tgifridays	Is there a waiting time to enter tgifridays	how_busy
what is the process for making a vacation request	What is the process of applying for leave	pto_request
what's the weather like today	What's the weather like today?	weather
please suggest a meal from italy to me	Please recommend me an Italian dish	meal_suggestion
reserve a table for 3 at outback steakhouse under the name lance at 7:00pm	Book a table for three in the name of lance at the inland Steakhouse at 7 p.m	restaurant_reservation
ai, please stop your current task	Oh, please stop your current task	cancel
when will it be in 10 days	What time in 10 days	date
turn off whisper mode	Turn off whisper mode	whisper_mode
how much have i spent on starbucks since the beginning of 2019	How much have I spent at Starbucks since early 2019	spending_history
clear my to do list	Clear my to-do list	todo_list_update
if i go to brazil, do i need to get an international visa	If I go to Brazil, do I need an international visa	international_visa
ai, flip a coin for me	Hello, toss me a coin	flip_coin
which meetings do i have today	What meetings do I have today	meeting_schedule
can you tell me what dirge means	Can you tell me what elegy means	definition
please repeat the last thing	Please repeat the last sentence	repeat
can you look and see how many days off i have taken so far since january	Can you see how many days I have taken off since January	pto_used
how much are the taxes on my income	How much is my income tax	taxes
that appears true	It seems to be true	yes
what pets do you have	What pets do you have	do_you_have_pets
i think there has been a fraud on my black visa card, can i report it	I think my black visa card is fraudulent. Can I report it	report_fraud
forget what i told you to do	Forget what I told you to do	cancel
how many dollars can i exchange for 200 pounds	How many dollars can I exchange for 200 pounds	exchange_rate
can applebees take reservations	Can I make a reservation for applebees	accept_reservations
when was the date that i was last paid	When was the last time I got paid	payday
how much pto is gone	How much is gone	pto_used
when did i get my last paycheck	When did I get my last salary	payday
i need a replacement phone charger ordered online	I need an online order replacement mobile charger	order
i don't have butter can i use oil	I don't have butter. Can I use oil	ingredient_substitution
whats the timezone for modesto	What's the time zone of Modesto	timezone
how do you spell verisimilitude	"How do you spell ""lifelike"""	spelling
can you tell me my income tax	Can you tell me my income tax	taxes
i want a pic of how to jump start	I'd like a picture of how to get started quickly	jump_start
i need to set up a new pin number for my college fund account	I need to set a new password for my university fund account	pin_change
how is my credit score rated	What's my credit score	credit_score
clear my calendar on feb 28	February 28 clear calendar	calendar_update
how do i redeem my visa points	How to exchange visa points	redeem_rewards
i need to know my routing number	I need to know my route number	routing
initiate a phone call with receptionist	Call the receptionist	make_call
please adjust your settings	Please adjust your settings	change_volume
roughly how long can i leave bananas in the freezer before i have to throw them out	How long can I keep the bananas in the fridge before I throw them away	food_last
i need buy a birthday gift for sue taken off my calendar  it is on monday or tuesday last week	I'm going to buy sue a birthday present and take my calendar off last Monday or Tuesday	calendar_update
how long will it take to get to tacoma	How long does it take to get to Tacoma	distance
please tell me the reason for the hold on my bb&t account	Please tell me why BB & T account is frozen	account_blocked
what is the name you would use for me	What's your name for me	user_name
either of them could be i'm not sure	Both of them are possible. I'm not sure	maybe
can you give me instructions on how to make alfredo	Can you tell me how to do Alfredo	recipe
where can i get my w-2	Where can I get my W-2	w2
is grocery shopping on my reminders list	Is there a shopping record on my reminder	reminder
when was my car last in the shop	When was the last time my car entered the store	last_maintenance
where do i find the routing number for navy federal	Where can I find the Federal Navy route number	routing
set up a reminder so i don't forget the baby shower this weekend	Set up a reminder so I don't forget the baby shower this weekend	reminder_update
whats the current exchange rate between usd and eur	What is the current exchange rate between the US dollar and the euro	exchange_rate
is there another person that controls you	Does anyone else control you	who_do_you_work_for
how long do i need to cook pot au feu for	How long should I cook the bottom of the pot	cook_time
if i go by bus, how long will it take to get to the airport	If I go by bus, how long does it take me to get to the airport	distance
how many points have i earned with my chase card	How many points did my chase card win	rewards_balance
remind me of which insurance plan i'm currently enrolled in	Remind me of my current insurance plan	insurance
how much air remains in my tires	How much air is still in my tires	tire_pressure
do you have instructions on jump starting a chevy	Do you have any instructions on how to start Chevrolet	jump_start
what in the world is my credit rating	What's my credit rating	credit_score
how many vacation days have i accumulated	How many holidays have I accumulated	pto_balance
how long does it take until i reach the sky harbor airport	How long does it take to get to sky port airport	distance
please check my tires and let me know if i have sufficient air in them	Please check my tires and tell me if there is enough air	tire_pressure
what is the meaning of the word girn	"What does the word ""girn"" mean"	definition
i need help figuring out where my phone is	I need someone to help me find out where my cell phone is	find_phone
what plug types are there in cuba	What plugs do you have in Cuba	plug_type
how many miles will it take to get to my destination	How many miles to my destination	distance
how high is my credit limit for my walmart card	How high is the credit limit of my Wal Mart card	credit_limit
when is my meeting with infrastructure	When do I meet with the infrastructure department	meeting_schedule
i want to know if my application for a credit card at community bank has been approved or not	I want to know if my credit card application at community bank is approved	application_status
timer for 5 minutes	Timer 5 minutes	timer
there's been some fraudulent activity on my card	There is fraud on my card	report_fraud
send sarah my current location	Send my current location to Sarah	share_location
when did i take my car to the shop last	When was the last time I drove to the store	last_maintenance
how healthy is tacos	How healthy are tortillas	nutrition_info
what do i owe to jcp	What do I owe JCP	bill_balance
please find me a recipe for spaghetti now	Now please find me a recipe for spaghetti	recipe
can you please help me locate my luggage	Can you help me find my luggage	lost_luggage
imagine you had to pick a preferred animal between cats or dogs, which will you pick	Imagine that you have to choose between a cat and a dog, which animal do you prefer	do_you_have_pets
do i need shots before traveling to mexico	Do I need an injection before I go to Mexico	vaccines
maybe one, maybe the other	Maybe one, maybe another	maybe
i have lost my card, what am i supposed to do	I lost my card. What should I do	report_lost_card
can you tell me about the traffic typically at noon on the route the hospital	Can you tell me the traffic on the way to the hospital at noon	traffic
does travel to africa require any shots	Do you need injections to travel to Africa	vaccines
suggest some things for me to do while i am in los angeles	Suggest that I do something while I'm in Los Angeles	travel_suggestion
i gotta have a 10 minute timer	I need a 10 minute timer	timer
do you know my work income	Do you know my income from work	income
what is life’s meaning	What is the meaning of life	meaning_of_life
are you employed by someone else	Are you employed by anyone else	who_do_you_work_for
tell me the last time i had my car checked out at sam's repair shop	Tell me when my car was last checked in Sam's garage	last_maintenance
what do you do on off days	What do you do on your day off	what_are_your_hobbies
what things are you able to help me with	What can you do for me	what_can_i_ask_you
bring the sound up	Turn it up	change_volume
how is the word acquaintance spelled	How do you spell the word acquaintance	spelling
i just flew in on american airlines flight ab123 from chicago and can't find my luggage	I just came over from Chicago on American Airlines flight ab123 and couldn't find my luggage	lost_luggage
please immediately disconnect this mobile	Please disconnect this phone immediately	sync_device
please remind me of something	Please remind me of one thing	reminder_update
what timezone is melbourne in	What time zone is Melbourne in	timezone
enable whisper mode	Enable whisper mode	whisper_mode
i want to pay my electric bill	I want to pay for the electricity	pay_bill
can you tell me how to spell the word schadenfreude, i don't know how it's spelt	Can you tell me how to spell schadenfreude? I don't know how to spell it	spelling
give me a list of ingredients for making pasta	Give me a list of ingredients for making spaghetti	ingredients_list
leave whisper mode	Out of whisper mode	whisper_mode
what is the name of your boss	What's the name of your boss	who_do_you_work_for
is milk in my shopping list if not, add it	Is milk on my shopping list? If not, please add	shopping_list_update
can i raise the credit limit for my discover card	Can I increase the credit limit of my exploration card	credit_limit_change
go back to your normal settings please	Please return to your normal settings	reset_settings
how good are the ratings for the olive garden	What's the audience rating of the olive garden	restaurant_reviews
which gas type does this car take	What kind of petrol does this car use	gas_type
when was my last payment	When was the last time I paid	payday
i need to know when my card is set to expire please	I want to know when my card will expire	expiration_date
reserve me a flight from ft lauderdale to houston on southwest	Book me a ticket from Fort Lauderdale to Houston Southwest	book_flight
what are the carry on limits for delta flights	What is the carry on limit for delta flights	carry_on
search for a flight out of la to chicago on march 3rd for under $500	Look for a flight from Los Angeles to Chicago on March 3 for less than $500	book_flight
give me today's date	Give me today's date	date
is there a certain kind of fuel needed	Do you need some kind of fuel	gas_type
what's my credit rating right now	What's my current credit rating	credit_score
any word on my healthcare plan	Any news about my medical plan	insurance
please tell me how to ask for a taxi in french	Please tell me how to call a taxi in French	translate
i need to change my pin number for my checking account	I need to change the password of my checking account	pin_change
lets go with heads or tails	Are we positive or negative	flip_coin
what was the problem with my card yesterday	What happened to my card yesterday	card_declined
complete a roll on a 4 sided dice	Complete a die on 4-sided dice	roll_dice
signing off	sign	goodbye
when will my car need an oil change	When does my car need an oil change	oil_change_when
what does the word ataraxy mean	What does the word ataraxy mean	definition
are there any travel alerts in that region	Is there a travel alert in that area	travel_alert
what track am i listening to	What am I listening to	what_song
text matt and tell him i will be late tonight	Text Matt and tell him I'll be late tonight	text
you know the reservation i have on 2:00 friday i confirm it	Do you know my appointment at two on Friday? I'll make sure	confirm_reservation
is the next day off coming up	Is it going to be a holiday the next day	next_holiday
what's my visa limit	What is my visa limit	credit_limit
i would like nutrition facts for spaghetti carbonara	I'd like to have the nutrition of kapola spaghetti	nutrition_info
how many weeks of vacation time do i have	I have a few weeks off	pto_balance
is it possible to order more checkbooks for my chase bank account	Is it possible to order more checkbooks for my chase bank account	order_checks
can you tell me what the ac is on	Can you tell me what the air conditioner is on	smart_home
direct deposit information	Direct deposit information	direct_deposit
i need to buy everything on the shopping list	I need to buy everything on the shopping list	order
how much money do i have coming in each month	How much money do I have every month	income
create a pto request for march 21st to march 26th	Create a PTO request from March 21 to March 26	pto_request
what do you go by	What do you choose	what_is_your_name
need to transfer from one account to my other one	You need to transfer from one account to another	transfer
when was my car last worked on	When was the last time my car was repaired	last_maintenance
tell me how long until the next day off	Tell me how long it's going to take to rest the next day	next_holiday
is there someone i can talk to since i am in the airport waiting for my luggage which never came	I'm waiting for my luggage at the airport, but I haven't come. Can anyone talk to me	lost_luggage
is it ok to use ketchup instead of mustard	Is it OK to use ketchup instead of mustard	ingredient_substitution
please schedule a meeting with kim at 10 am	Please arrange a meeting with Kim at 10 a.m	schedule_meeting
tell me the gas mileage on my car	Tell me the gas mileage of my car	mpg
how do i schedule vacation days	How do I plan my vacation	pto_request
let my credit card company know that my card split in half	Let my credit card company know that my card is split in two	damaged_card
reverse a table for 5 at burger king under the name sara at 6	Change a table for five at Burger King into a table for six, Sarah	restaurant_reservation
x needs to be called by me	I need to call X	make_call
i need a mexican meal suggesstion	I need a suggestion for Mexican food	meal_suggestion
how do i get to the fine arts center by foot	How can I get to the art center on foot	directions
in the central timezone, what time is it	In the central time zone. What time is it	time
speak in french please	Speak French, please	change_language
what time is it in punta gorda, florida	What time is it in pontagoda, Florida	time
how long will it take me to get to walmart	How long does it take to get to Wal Mart	distance
is it safe for people to travel to pakistan	Is it safe for people to travel to Pakistan	travel_alert
what is my visa card limit	What's my visa limit	credit_limit
hello, how are things	Hello, how are you doing	greeting
what sort of jokes do you know	What kind of joke do you know	tell_joke
say that i am in tulsa, will i be charged even more if i use my card	If I'm in Tulsa, will I be charged more if I use my card	international_fees
i need to know if i need a visa to travel to el salvador	I want to know if I need a visa to go to El Salvador	international_visa
add my dentist appointment to the calendar	Add my dental appointment to the calendar	calendar_update
what things do you like to do	What do you like to do	what_are_your_hobbies
so please reset your factory settings	So please reset the factory settings	reset_settings
has my vacation request been updated	Has my vacation application been updated	pto_request_status
how good are the ratings for chez panisse	What's the ratings of Chez Panisse	restaurant_reviews
look up the credit limit for my visa	Check the credit limit of my visa	credit_limit
you are wrong	You're wrong	no
i want to report fraudulent activity on my visa	I want to report fraud on my visa	report_fraud
can you translate that to french	Can you translate it into French	change_language
great talk, thanks	Well said, thank you	goodbye
revert to original settings	Restore to original settings	reset_settings
mark down that i will be in rome from february 1 to march 1 and notify my bank	Note that I will be in Rome from February 1 to March 1 and inform my bank	travel_notification
are there any meetings on my calendar today	Is there a meeting on my schedule today	meeting_schedule
after losing a credit card, how long does it take to get a new one	After losing a credit card, how long does it take to get a new one	replacement_card_duration
please roll the 5 sided dice	Please roll five dice	roll_dice
could you tell me if you're a real person	Can you tell me if you are a real person	are_you_a_bot
please increase the speed of your speech, it is too slow	Please speed up your speech. It's too slow	change_speed
5 people are going to be at tropicana by 8pm, reserve the table under martins name please	Five people will arrive in the tropics at 8pm. Please reserve this table in the name of Martins	restaurant_reservation
what's your age right now	How old are you now	how_old_are_you
how do i find out my credit rating	How do I know my credit rating	credit_score
schedule an uber to the mall	Arrange a Uber to the shopping center	uber
what is the high temperature for tomorrow	What's the high temperature tomorrow	weather
i want to change my savings account pin to 1234	I want to change my savings account password to 1234	pin_change
could you start a timer for me	Can you start the timer for me	timer
change your name to something funny	Change your name to something interesting	change_ai_name
i just got this new job but i need help with my 401k rollover	I just got this new job, but I need the help of 401k rollover	rollover_401k
rolls have how many calories	How many calories are there in a roll	calories
when will i received a replacement card	When can I receive the replacement card	replacement_card_duration
tell me the song that is currently playing	Tell me the song currently playing	what_song
i need to know my rewards balance on my discover card	I need to know the bonus balance on my discovery card	rewards_balance
start responding to joe	Start responding to Joe	change_ai_name
did i include butter in my shopping list	Is there any butter on my shopping list	shopping_list
what is the definition of valor	What is the definition of bravery	definition
about how much time will it take to get to the laundry in this area	How long does it take to get to the laundry in this area	distance
how many more miles can i drive on my current tank	How many miles can my tank drive now	gas
nice to speak with you	Nice talking to you	goodbye
what exactly is my pin	What's my password	pin_change
i recently took a new job and need help with my 401k rollover	I've been looking for a new job recently, and my 401k car needs help	rollover_401k
i need to report that my card is lost	I want to report that I lost my card	report_lost_card
i've lost my luggage what should i do now	I have lost my luggage. What should I do now	lost_luggage
change response language from mandarin to english	Response language changed from Putonghua to English	change_language
verify my reservation for smith and wollensky at 6:45	Check my reservation for Smith and wallensky at 6:45	confirm_reservation
come again	Once more	repeat
my card has a deep crease through the middle so i would like to report it	There is a deep crease in the middle of my business card, so I want to report it	damaged_card
why don't i have access to my bank account	Why can't I access my bank account	account_blocked
hello siri	Hello, Siri	greeting
how can i take a bus to dallas	How can I get to Dallas by bus	directions
